row ID,label
0,92
1,204
2,1482
3,451
4,1277
5,7294
6,3533
7,111
8,17
9,298
10,20
11,3711
12,336
13,20
14,46
15,2324
16,136
17,406
18,172
19,298
20,211
21,714
22,255
23,5995
24,1277
25,3711
26,103
27,283
28,1521
29,46
30,9845
31,564
32,44
33,28
34,5120
35,757
36,328
37,46
38,15
39,43
40,46
41,328
42,5069
43,74
44,1897
45,27
46,1696
47,2081
48,4880
49,39
50,332
51,172
52,151
53,677
54,672
55,1521
56,1277
57,43
58,103
59,211
60,12
61,2165
62,136
63,31
64,211
65,336
66,79
67,7838
68,7503
69,557
70,510
71,3711
72,22
73,1094
74,46
75,328
76,27
77,378
78,336
79,211
80,103
81,260
82,370
83,537
84,770
85,7838
86,211
87,1887
88,164
89,1135
90,8972
91,714
92,818
93,425
94,46
95,4880
96,564
97,43
98,260
99,39
100,818
101,20
102,581
103,7838
104,39
105,7838
106,277
107,5733
108,5
109,111
110,248
111,7294
112,5177
113,136
114,9
115,3466
116,336
117,1277
118,371
119,309
120,316
121,63
122,328
123,714
124,4880
125,94
126,18
127,248
128,375
129,10
130,167
131,8
132,330
133,92
134,375
135,46
136,1521
137,5733
138,167
139,3466
140,332
141,103
142,209
143,43
144,108
145,46
146,309
147,757
148,1521
149,1217
150,1034
151,17
152,309
153,44
154,46
155,248
156,164
157,1521
158,114
159,8
160,336
161,8
162,32
163,7838
164,691
165,2324
166,136
167,407
168,46
169,298
170,1034
171,106
172,15
173,2324
174,378
175,499
176,46
177,10
178,43
179,1668
180,8291
181,77
182,82
183,672
184,925
185,136
186,15
187,204
188,451
189,564
190,430
191,1696
192,151
193,265
194,343
195,4126
196,127
197,1865
198,4
199,344
200,277
201,5908
202,5733
203,46
204,43
205,1185
206,336
207,204
208,164
209,107
210,39
211,309
212,39
213,564
214,103
215,1361
216,231
217,7997
218,163
219,661
220,537
221,2233
222,8456
223,328
224,5733
225,31
226,3450
227,170
228,5892
229,250
230,1418
231,27
232,77
233,92
234,549
235,103
236,97
237,24
238,11
239,46
240,27
241,929
242,1094
243,34
244,164
245,50
246,672
247,31
248,39
249,41
250,136
251,46
252,103
253,244
254,328
255,53
256,1621
257,3260
258,370
259,672
260,348
261,3777
262,537
263,250
264,6
265,46
266,27
267,8291
268,929
269,672
270,204
271,20
272,46
273,136
274,1034
275,1277
276,43
277,128
278,97
279,22
280,15
281,3466
282,53
283,336
284,1277
285,97
286,3781
287,172
288,399
289,1618
290,350
291,15
292,103
293,17
294,343
295,4
296,451
297,672
298,15
299,77
300,127
301,2116
302,46
303,17
304,491
305,18
306,5641
307,454
308,4880
309,1036
310,2906
311,3711
312,1521
313,44
314,46
315,103
316,106
317,3777
318,1521
319,677
320,36
321,544
322,1598
323,294
324,477
325,3466
326,332
327,20
328,250
329,8291
330,8291
331,5198
332,43
333,770
334,1025
335,1897
336,1034
337,406
338,879
339,864
340,1673
341,3316
342,127
343,4224
344,556
345,46
346,151
347,422
348,1482
349,7503
350,22
351,1208
352,1182
353,167
354,71
355,818
356,44
357,8291
358,551
359,136
360,39
361,1408
362,120
363,1859
364,677
365,1521
366,818
367,44
368,332
369,1887
370,328
371,562
372,20
373,770
374,136
375,32
376,336
377,46
378,46
379,1277
380,672
381,12
382,8972
383,406
384,167
385,43
386,114
387,17
388,3156
389,328
390,17
391,3839
392,714
393,46
394,136
395,18
396,2081
397,316
398,1277
399,7838
400,22
401,2615
402,44
403,4880
404,1845
405,562
406,20
407,343
408,2664
409,46
410,537
411,499
412,44
413,328
414,6141
415,537
416,43
417,1977
418,31
419,22
420,3466
421,757
422,4
423,97
424,20
425,17
426,119
427,46
428,309
429,770
430,1482
431,136
432,2830
433,341
434,11
435,5120
436,309
437,82
438,328
439,332
440,3711
441,1521
442,44
443,10
444,819
445,79
446,3334
447,987
448,344
449,8972
450,316
451,7503
452,1375
453,5324
454,103
455,43
456,1555
457,2682
458,309
459,20
460,13
461,38
462,50
463,296
464,9828
465,177
466,277
467,378
468,2189
469,2615
470,375
471,371
472,164
473,46
474,3839
475,39
476,46
477,45
478,82
479,1618
480,1135
481,6141
482,126
483,108
484,119
485,1521
486,472
487,298
488,211
489,43
490,557
491,682
492,628
493,1025
494,347
495,22
496,6141
497,336
498,5251
499,3781
500,2906
501,39
502,17
503,370
504,36
505,929
506,5733
507,857
508,332
509,244
510,211
511,101
512,97
513,231
514,79
515,6445
516,5175
517,953
518,32
519,13
520,818
521,10
522,1598
523,358
524,44
525,672
526,44
527,18
528,4126
529,46
530,6141
531,36
532,136
533,1034
534,714
535,1277
536,43
537,1482
538,358
539,3358
540,605
541,7838
542,770
543,929
544,39
545,1521
546,672
547,344
548,682
549,158
550,211
551,53
552,151
553,2959
554,211
555,3466
556,1277
557,328
558,3962
559,164
560,925
561,672
562,136
563,10
564,20
565,253
566,128
567,20
568,3334
569,40
570,1887
571,336
572,6
573,1036
574,155
575,336
576,344
577,6445
578,348
579,494
580,5120
581,672
582,1672
583,31
584,46
585,328
586,20
587,6439
588,677
589,265
590,1025
591,562
592,3711
593,925
594,332
595,44
596,3839
597,91
598,1977
599,1129
600,714
601,128
602,164
603,10
604,136
605,1260
606,27
607,818
608,18
609,97
610,224
611,672
612,17
613,1213
614,8107
615,3156
616,1887
617,211
618,18
619,187
620,20
621,136
622,298
623,332
624,1647
625,58
626,494
627,276
628,7445
629,681
630,3205
631,166
632,128
633,757
634,39
635,32
636,650
637,40
638,253
639,309
640,46
641,277
642,130
643,97
644,1521
645,128
646,3781
647,46
648,44
649,328
650,1865
651,328
652,46
653,22
654,879
655,8203
656,1182
657,1618
658,177
659,328
660,298
661,3781
662,1034
663,8291
664,4
665,255
666,250
667,43
668,94
669,164
670,1683
671,1277
672,43
673,309
674,344
675,127
676,8667
677,316
678,1277
679,53
680,5379
681,39
682,22
683,682
684,172
685,818
686,929
687,82
688,3781
689,1977
690,45
691,2196
692,211
693,128
694,818
695,43
696,46
697,136
698,62
699,1496
700,46
701,451
702,9
703,2116
704,151
705,328
706,940
707,53
708,6141
709,375
710,163
711,323
712,2268
713,169
714,204
715,277
716,43
717,167
718,128
719,2884
720,172
721,672
722,7838
723,393
724,714
725,43
726,6
727,322
728,570
729,8
730,1521
731,164
732,255
733,1129
734,36
735,46
736,1277
737,3773
738,2615
739,322
740,476
741,71
742,557
743,332
744,757
745,430
746,328
747,2196
748,1034
749,153
750,20
751,18
752,309
753,344
754,43
755,46
756,2845
757,0
758,298
759,925
760,119
761,336
762,1277
763,672
764,31
765,309
766,8972
767,5733
768,46
769,332
770,298
771,1598
772,46
773,6141
774,10
775,97
776,111
777,46
778,18
779,747
780,446
781,123
782,44
783,46
784,39
785,204
786,714
787,7503
788,11
789,1034
790,43
791,1034
792,8972
793,7503
794,1521
795,36
796,155
797,128
798,46
799,757
800,2025
801,316
802,103
803,1277
804,672
805,375
806,7503
807,1036
808,1036
809,46
810,142
811,344
812,18
813,94
814,128
815,929
816,5198
817,3711
818,46
819,2664
820,167
821,672
822,1215
823,2165
824,127
825,328
826,127
827,121
828,45
829,187
830,4638
831,8291
832,1977
833,328
834,82
835,43
836,5892
837,41
838,1034
839,4099
840,1621
841,17
842,351
843,39
844,2196
845,557
846,393
847,770
848,5733
849,1387
850,43
851,1521
852,328
853,441
854,20
855,7503
856,8027
857,747
858,31
859,1977
860,58
861,4789
862,6141
863,31
864,64
865,682
866,2682
867,6371
868,370
869,248
870,332
871,672
872,155
873,155
874,5120
875,155
876,277
877,97
878,123
879,375
880,211
881,681
882,925
883,2664
884,20
885,714
886,4877
887,27
888,31
889,8291
890,682
891,15
892,97
893,39
894,316
895,35
896,672
897,4492
898,582
899,204
900,564
901,39
902,328
903,953
904,672
905,97
906,103
907,5733
908,298
909,650
910,298
911,328
912,8972
913,17
914,344
915,128
916,94
917,328
918,46
919,181
920,43
921,164
922,155
923,8972
924,494
925,44
926,5816
927,1025
928,7838
929,4575
930,211
931,4
932,130
933,4224
934,9897
935,651
936,10
937,255
938,8972
939,1521
940,6439
941,328
942,714
943,25
944,770
945,15
946,1977
947,136
948,22
949,46
950,31
951,581
952,255
953,253
954,437
955,27
956,588
957,18
958,114
959,13
960,461
961,375
962,1977
963,43
964,1135
965,1521
966,92
967,46
968,242
969,3533
970,556
971,7838
972,557
973,5908
974,3647
975,1418
976,770
977,1482
978,605
979,46
980,378
981,20
982,82
983,344
984,46
985,155
986,953
987,328
988,46
989,260
990,461
991,136
992,125
993,1521
994,1696
995,158
996,15
997,451
998,151
999,17
1000,211
1001,6439
1002,344
1003,316
1004,46
1005,336
1006,328
1007,10
1008,46
1009,18
1010,3533
1011,46
1012,336
1013,336
1014,674
1015,119
1016,31
1017,562
1018,155
1019,32
1020,82
1021,211
1022,244
1023,17
1024,356
1025,5892
1026,10
1027,43
1028,44
1029,375
1030,1482
1031,358
1032,518
1033,826
1034,151
1035,255
1036,97
1037,127
1038,46
1039,136
1040,46
1041,248
1042,8972
1043,265
1044,818
1045,73
1046,77
1047,557
1048,1277
1049,164
1050,50
1051,8724
1052,9160
1053,31
1054,43
1055,454
1056,97
1057,3466
1058,119
1059,1277
1060,4951
1061,3711
1062,336
1063,211
1064,45
1065,2161
1066,7492
1067,770
1068,53
1069,316
1070,18
1071,250
1072,2113
1073,4880
1074,64
1075,127
1076,97
1077,13
1078,4829
1079,167
1080,7838
1081,518
1082,661
